country,price,rating,size_of_site,total_pitches,caravns,sea,lake,river,mountain,Height,next_city,transport
Switzerland,34.0,4.5,250,170.0,,,2,5 km,Yes,1420.0,3,0.1
Germany,22.0,4.5,,320.0,Not available,,On,,No,62.0,7,2.5
Germany,17.0,4.5,1.3,61.0,Not available,,0.3,,,450.0,,
Germany,26.0,4.5,0.5,42.0,,,,On site,,350.0,,0.5
Spain,38.0,4.5,3.5,153.0,,0.8,,0.1 km,No,,2,2
Germany,21.0,4.5,4,35.0,Not available,,,On site,,102.0,4,0.4
Greece,23.0,4.5,6,44.0,,On,,,Yes,,4,
Italy,25.0,4.5,2.5,190.0,Not available,,,,Yes,,,
France,24.0,4.5,,,,0.2,,,No,,,On
Austria,28.0,4.5,1.5,56.0,Not available,,0.4,On site,Yes,660.0,20,0.3
Bulgaria,16.0,4.5,2,12.0,Available,,,,No,,12,On
Bulgaria,16.0,4.5,2,12.0,Available,,,,No,,12,On
France,34.0,4.5,13,229.0,,,,0.6 km,Yes,,0.3,0.3
France,28.0,4.5,,,,0.03,,,No,,,
France,28.0,4.5,2,150.0,,,,,Yes,1061.0,1.8,0.3
Sweden,24.0,4.5,8,100.0,,,10,On site,Yes,,23,
Greece,23.0,4.5,2,120.0,Not available,On,,,No,,22,1
Austria,19.0,4.5,0.8,30.0,Not available,,6,2.5 km,Yes,,27,1.5
Luxembourg,19.0,4.5,3.2,135.0,Not available,,10,On site,Yes,,4,0.1
Romania,12.0,4.5,1,39.0,,,,0.5 km,Yes,,8,0.1
Bulgaria,20.0,4.5,"3,000",12.0,,,1,0.2 km,Yes,142.0,17,2
France,26.0,4.5,,,,,,,,,,
France,37.0,4.5,2,110.0,,0.5,,,No,,1.5,15
Netherlands,27.0,4.5,1,25.0,,0.3,,,,,6,1
Netherlands,24.0,4.5,,60.0,,2,1,,No,,16,2
Netherlands,24.0,4.5,13,295.0,Not available,,10,,No,,13,3
Norway,22.0,4.5,1,70.0,,77,20,On site,No,,125,8
Norway,26.0,4.5,0.6,48.0,Not available,30,5,,Yes,,60,0.2
Sweden,18.0,4.5,5,33.0,,,3,On site,Yes,,80,1
Sweden,20.0,4.5,,80.0,Available,,,,,,,
Croatia,17.0,4.5,,40.0,,,,,,,,
Italy,31.0,4.5,,,,,On,,Yes,,,On
Denmark,34.0,4.5,4,220.0,Not available,On,,,No,5.0,25,0.1
Denmark,36.0,4.5,6.1,305.0,Not available,On,,,,,15,4
Denmark,25.0,4.5,2.6,125.0,Not available,On,,,No,,25,0.5
Denmark,20.0,4.5,8,250.0,Not available,25,,,No,,11,0.2
France,31.0,4.5,,197.0,,,,,No,,1,On
France,8.0,4.5,,63.0,,,0.3,,,,,
France,31.0,4.5,,197.0,,,,,No,,1,On
France,8.0,4.5,,63.0,,,0.3,,,,,
France,17.0,4.5,3,90.0,Not available,,11,3 km,Yes,1280.0,3,4
France,25.0,4.5,,180.0,,,On,1 km,Yes,,18,18
France,33.0,4.5,15,120.0,,4,,,No,,,
France,31.0,4.5,2,60.0,Available,0.5,,,No,,18,0.2
France,31.0,4.5,4.5,120.0,,12,,1 km,No,,7,7
France,17.0,4.5,4,150.0,Not available,,0.5,On site,,490.0,,
France,21.0,4.5,7,192.0,Available,80,12,On site,Yes,660.0,50,On
Netherlands,26.0,4.5,9.5,240.0,Not available,,,,No,,14,1
Netherlands,19.0,4.5,5,120.0,Available,,,1.5 km,No,,15,1
Belgium,25.0,4.5,150,1150.0,,,On,,No,,8,2
Germany,30.0,4.5,0.8,25.0,Not available,,,,,,,
Austria,26.0,4.5,0.8,50.0,Not available,,,On site,Yes,1004.0,28,0.7
Norway,32.0,4.5,15,60.0,,On,,,No,,24,0.5
Norway,24.0,4.5,3,150.0,Available,,On,On site,No,,150,On
Greece,22.0,4.5,,140.0,,On,,,No,,0.4,0.2
Greece,26.0,4.5,,,,On,,,,,1,0.5
Spain,25.0,4.5,1,64.0,,40,,6 km,,,11,0.5
Spain,25.0,4.5,,350.0,,On,20,5 km,No,10.0,18,1
Hungary,15.0,4.5,7.5,45.0,Available,,On,,No,,14,1
France,18.0,4.5,3,124.0,Not available,0.4,,,,,,
Norway,26.0,4.5,1.3,45.0,Not available,,0.5,0.5 km,Yes,592.0,18,0.1
Spain,34.0,4.5,1.8,72.0,Not available,9,,,,120.0,9,
Greece,17.0,4.5,1,50.0,Not available,On,,,No,,6,2
Croatia,20.0,4.5,0.6,30.0,,,,,,,,
Croatia,23.0,4.5,,50.0,,,,,,,,
Switzerland,34.0,4.5,1.8,57.0,Not available,,0.3,0.3 km,Yes,,7,2.2
Bosnia-Herzegovina,23.0,4.5,3.7,,,,On,On site,,500.0,,0.1
Netherlands,15.0,4.5,,20.0,,,,,,,,
Germany,18.0,4.5,1,45.0,Not available,,,On site,Yes,380.0,8,0.5
Austria,22.0,4.5,,80.0,,,,,,,,0.5
Italy,18.0,4.5,1,30.0,Not available,6,,1 km,No,,5,3
Slovakia,18.0,4.5,1.5,20.0,Not available,,,0.05 km,,68.0,4,0.5
Montenegro,15.0,4.5,3,20.0,Available,,,,,,,
Slovakia,18.0,4.5,1.5,20.0,Not available,,,0.05 km,,68.0,4,0.5
Montenegro,15.0,4.5,3,20.0,Available,,,,,,,
Slovenia,19.0,4.5,5,100.0,Not available,,,,,,,
Croatia,27.0,4.5,12,25.0,Not available,,,12 km,No,250.0,25,5
Czech Republic,25.0,4.5,,100.0,,,,1 km,Yes,,,On
Italy,45.0,4.5,4,135.0,Not available,On,,,No,,18,1.5
Denmark,21.0,4.5,16,355.0,Not available,On,1,,,,20,5
Denmark,33.0,4.5,5,100.0,Not available,,,On site,No,,20,0.7
Denmark,18.0,4.5,2,18.0,,2,On,10 km,No,100.0,10,0.1
Denmark,27.0,4.5,1,100.0,,On,,,No,,1,0.1
Denmark,29.0,4.5,6.5,160.0,,,On,,No,,25,On
Denmark,27.0,4.5,,,,0.2,,,Yes,,,0.6
Finland,26.0,4.5,3,100.0,,,On,,,,,
Finland,26.0,4.5,,123.0,,,On,,No,,5,5
Finland,31.0,4.5,,100.0,,,On,,,,25,0.5
Finland,25.0,4.5,3,32.0,,,On,1.5 km,No,300.0,15,16
Great Britain,25.0,4.5,2,48.0,Not available,,,,No,,7,1
Great Britain,27.0,4.5,,,,2.4,,,No,,,
Great Britain,26.0,4.5,,,,5,2,On site,No,,,1
Great Britain,20.0,4.5,,,,16,,,No,,,
Great Britain,15.0,4.5,,,,,,On site,No,,,
Great Britain,45.0,4.5,,50.0,Not available,30,,8 km,No,,8,4
Great Britain,25.0,4.5,27,40.0,Not available,On,,,,60.0,8,On
France,13.0,4.5,0.6,6.0,Not available,,,,No,250.0,3,1
France,28.0,4.5,1.8,89.0,,,,,,,,
France,22.0,4.5,2.5,64.0,,3,19,2 km,,,0.8,1
France,24.0,4.5,2,74.0,Not available,20,30,On site,No,,1,1
France,21.0,4.5,1,40.0,,,,,No,,45,1
France,12.0,4.5,6.5,120.0,,,,,,,,
France,26.0,4.5,1.3,79.0,,On,5,5 km,Yes,,7,1
France,16.0,4.5,,49.0,,,,,No,,24,0.5
France,22.0,4.5,,,,0.9,,,No,,,
France,35.0,4.5,7,99.0,Not available,2.5,,On site,No,,10,0.2
France,19.0,4.5,2.5,78.0,Not available,,,,No,,0.5,2
France,24.0,4.5,,50.0,Not available,,On,,No,,27,1.4
France,26.0,4.5,2.5,100.0,Not available,500,,On site,No,,16,0.5
France,19.0,4.5,2,71.0,Not available,,,,,450.0,15,15
France,20.0,4.5,3.5,120.0,Not available,4,,,,,,0.5
France,30.0,4.5,1.5,65.0,Not available,1.5,,0.5 km,No,70.0,7,0.3
France,52.0,4.5,2.3,167.0,Not available,,,,,,,
France,15.0,4.5,6,99.0,,,,2 km,,,8,8
France,14.0,4.5,,,,,,0.5 km,No,,,
France,18.0,4.5,3,85.0,,,,On site,Yes,650.0,12,On
France,28.0,4.5,20,40.0,,,,On site,Yes,500.0,8,2
France,31.0,4.5,,,,2.5,,,,,,
France,18.0,4.5,2,60.0,Not available,,On,,,,,2
France,25.0,4.5,8,30.0,,,4,20 km,No,,15,15
France,9.0,4.5,1,50.0,Not available,,12,On site,No,,On,0.3
France,14.0,4.5,0.8,36.0,Available,,,,No,550.0,4,On
France,14.0,4.5,2,98.0,Not available,,3,,,660.0,5,
France,17.0,4.5,2,62.0,Not available,,15,On site,No,555.0,15,3
France,17.0,4.5,8,60.0,Not available,,,,No,300.0,8,8
France,31.0,4.5,5,251.0,Not available,,,On site,No,368.0,2,
France,16.0,4.5,,,,,,,No,,,On
France,16.0,4.5,1.6,84.0,,,,On site,,,8,0.1
France,34.0,4.5,23,201.0,,,,0.3 km,No,,5,0.3
France,26.0,4.5,1.6,111.0,Not available,0.2,,,No,,5,0.1
France,18.0,4.5,2,55.0,,,,,No,,10,3
France,17.0,4.5,1,15.0,,9,,,,,9,10
France,22.0,4.5,3,51.0,Not available,,,,No,111.0,5,9
France,23.0,4.5,5.8,199.0,Not available,0.3,,,No,5.0,35,3
France,23.0,4.5,,150.0,Not available,1.5,,,No,,1.5,1.2
France,19.0,4.5,,63.0,,,20,,Yes,,30,0.5
France,20.0,4.5,2,105.0,Not available,,2.5,,,525.0,50,50
France,24.0,4.5,4.5,100.0,Not available,,,,,,,
France,29.0,4.5,4,100.0,,,6,12 km,,,,
France,12.0,4.5,1,50.0,Not available,,,On site,No,,5,0.5
France,13.0,4.5,,,,,,On site,Yes,,,On
France,19.0,4.5,,,,,,,Yes,,,On
France,21.0,4.5,,,Not available,,,,Yes,,,
France,19.0,4.5,,,Not available,,On,,Yes,,,On
France,14.0,4.5,5.5,163.0,,,5,0.4 km,Yes,,10,0.4
France,19.0,4.5,1.2,60.0,Not available,,,,,,,
France,32.0,4.5,5,78.0,Not available,,,8 km,,,,
France,23.0,4.5,6,101.0,,,,,,,,
France,32.0,4.5,5,78.0,Not available,,,8 km,,,,
France,23.0,4.5,6,101.0,,,,,,,,
France,37.0,4.5,17,169.0,Not available,,,4 km,Yes,497.0,40,12
France,39.0,4.5,15,500.0,Not available,,,On site,No,,7,7
France,23.0,4.5,2.3,100.0,Not available,,,On site,,70.0,,2
France,22.0,4.5,3,130.0,Available,,20,0.15 km,No,370.0,1.5,1.5
Netherlands,13.0,4.5,3.5,65.0,Not available,,,,,,,
Netherlands,24.0,4.5,10,270.0,Not available,,,0.1 km,No,,2,2
